Job_ID,Job_URL,Title,Type,City,Suburb,Industry,Hiring_Ent,Summary,Post_Date
34376436,https://www.seek.com.au/job/34376436,Data Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Robert Walters,Big 4 Bank looking to add a Data Analyst to the team.,2017-09-11T07:08:29Z
34376394,https://www.seek.com.au/job/34376394,Data Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Robert Walters,Big 4 Bank looking to add a Data Analyst to the team.,2017-09-11T07:05:53Z
34376246,https://www.seek.com.au/job/34376246,Market Data Analyst - Tier 1 Bank - Market Rates Business,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Infopeople,Tier 1 Bank - Market Data Analyst - High Profile Team - Big Data - Commodities - Market Rates - Strong SQL Skills - Contract - Sydney CBD,2017-09-11T07:00:54Z
34375173,https://www.seek.com.au/job/34375173,"Data Analyst - R, Python, AWS",Contract/Temp,Melbourne,,Information & Communication Technology,FourQuarters Recruitment,Data Analyst required to deliver actionable insights within a leading utilities business.,2017-09-11T06:00:57Z
34373096,https://www.seek.com.au/job/34373096,Senior IT Business Analyst/Data Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Clicks IT Recruitment,URGENT! Hiring a Senior IT Business Analyst/Data Analyst with experience in reporting and data analytics. 6 months contract.,2017-09-11T04:05:17Z
34376452,https://www.seek.com.au/job/34376452,Data Analyst - Digital,Full Time,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Motion Recruitment,Take your career to the next level with a well known International company that will give you exposure to a wide range of analytics projects.,2017-09-11T07:09:49Z
34369795,https://www.seek.com.au/job/34369795,ABF Data Analyst – APS Level 6,Full Time,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Independent Hospital Pricing Authority,"The Independent Hospital Pricing Authority is seeking to fill an ongoing, Sydney based ABF Data Analyst at the APS Level 6 classification.",2017-09-11T00:52:47Z
34367731,https://www.seek.com.au/job/34367731,Data Analyst - Wealth Management,Full Time,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,The Recruitment Alternative,Do you have strong wealth management/superannuation experience and want to work for a Data Products company that values your opinions and expertise?,2017-09-10T12:00:43Z
34364561,https://www.seek.com.au/job/34364561,SQL Server Data Analyst,Full Time,ACT,,Information & Communication Technology,Collaborative Consulting,SQL Server Data Analyst for Federal Government Project. Australian Citizen . NV1 Security Clearance. 12 to 18 months role. Hourly Rate over $100.,2017-09-08T10:32:56Z
34358234,https://www.seek.com.au/job/34358234,Senior IT Business Analyst/Data Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Chandler Macleod Group,Senior IT Business Analyst/Data Analyst 5 years of experience in reporting and data analytics,2017-09-08T03:46:55Z
34358139,https://www.seek.com.au/job/34358139,Senior IT Data Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Finite IT Recruitment Solutions,Finite is looking for a Senior IT Data Analyst with business analysis capabilities to join a large government team ,2017-09-08T03:40:18Z
34358103,https://www.seek.com.au/job/34358103,Senior IT Business Analyst/Data Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Chandler Macleod Group,Senior IT Business Analyst/Data Analyst 5 years of experience in reporting and data analytics,2017-09-08T03:36:42Z
34356796,https://www.seek.com.au/job/34356796,SENIOR IT DATA ANALYST/ BUSINESS ANALYST,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Dynamo Recruitment,SEEKING SENIOR IT DATA ANALYST WITH EXPERIENCE IN SAS JAVA SIEBLE ORACLE COGNOS. START DATE EARLY OCTOBER!,2017-09-08T02:02:47Z
34356392,https://www.seek.com.au/job/34356392,Business Analyst - Data Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Greythorn,Leading government client based in the CBD is looking for a Business Analyst - (Data Analyst). 6 Months contract + Extension. Australian Citizen only.,2017-09-08T01:39:09Z
34362889,https://www.seek.com.au/job/34362889,Data Analyst - Pricing focused - build and analyse the data,Full Time,Melbourne,Bayside & South Eastern Suburbs,Information & Communication Technology,Valmont Industries ANZ,"Love data and analysis? Newly created role for proactive and self-motivated Analyst. Exposure to key senior executives, build your career. ASAP start",2017-09-08T07:01:07Z
34359059,https://www.seek.com.au/job/34359059,ETL & SQL Data Analyst,Full Time,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Peoplebank Australia VIC,"This innovative, technology organisation has been a leading provider of niche software solutions to the Australian market sector for the last decade.",2017-09-08T04:24:36Z
34356048,https://www.seek.com.au/job/34356048,"Data Analyst | Financial Crime Services | SAS, SQL & Python",Full Time,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,National Australia Bank,"Utilise your business and data analysis skills with including experience with SAS, SQL and Python to join a small and collaborative team of Analysts.",2017-09-08T01:19:49Z
34351446,https://www.seek.com.au/job/34351446,Senior Data Analyst,Contract/Temp,ACT,,Information & Communication Technology,SOS Recruitment,Our client is seeking an experienced Data Analyst for a 6 -12 month contract commencing October 2017.,2017-09-07T07:08:07Z
34350592,https://www.seek.com.au/job/34350592,Internal Audit Senior Data Analyst,Full Time,Brisbane,CBD & Inner Suburbs,Information & Communication Technology,UnitingCare Qld,UnitingCare QLD is currently seeking an Internal Audit Senior Data Analyst for a Full Time role based in our Brisbane CBD Office.,2017-09-07T06:21:02Z
34345990,https://www.seek.com.au/job/34345990,Digital Data Analyst,Full Time,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Telstra,Exciting opportunity for experience Digital Data Analyst to join our growing team,2017-09-07T01:18:40Z
34407170,https://www.seek.com.au/job/34407170,Data Analyst - 6 month contract,Contract/Temp,Sydney,North West & Hills District,Information & Communication Technology,Preacta Recruitment,6 month contract opportunity for a Data Analyst for one of the leading retail companies in Australia.,2017-09-14T06:00:23Z
34300514,https://www.seek.com.au/job/34300514,Production Data Entry/Assistant Production Planner,Full Time,Brisbane,Western Suburbs & Ipswich,"Manufacturing, Transport & Logistics",Trisco Foods,"Data entry of daily manufacturing documentation, Stocktake reconciliation and inventory discrepancy analysis, Production planning support and backup",2017-09-15T14:00:00Z
34393161,https://www.seek.com.au/job/34393161,Data Administrator,Full Time,Sydney,North West & Hills District,Administration & Office Support,Electrical Testing Services,We are seeking a highly motivated candidate with solid Data Administration knowledge to join our expanding company.,2017-09-15T14:00:00Z
34402692,https://www.seek.com.au/job/34402692,Microsoft SQL BI Data Analyst,Full Time,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Genesis IT&T P/L,Microsoft SQL BI Data Analyst - Market leading company - Alexandria location - Close to transport,2017-09-14T01:15:47Z
34265791,https://www.seek.com.au/job/34265791,Data Analyst,Full Time,ACT,,Information & Communication Technology,Callida Resourcing,We are seeking an experienced Data Analyst to work for a Not For Profit Organisation.,2017-09-14T00:39:49Z
34407935,https://www.seek.com.au/job/34407935,Billing Data Analyst,Contract/Temp,Melbourne,CBD & Inner Suburbs,"Mining, Resources & Energy",Optimum Recruitment,"Immediate start, short walk to Southern Cross station, modern office and facility, 3 month assignment with view of extension",2017-09-14T06:45:38Z
34404002,https://www.seek.com.au/job/34404002,Data Analyst,Contract/Temp,Sydney,,Information & Communication Technology,Launch Recruitment Pty Ltd,Work as a Data Analyst,2017-09-14T02:30:56Z
34403696,https://www.seek.com.au/job/34403696,Data Analyst - Not-For-Profit Sector,Full Time,Sydney,Parramatta & Western Suburbs,Marketing & Communications,Alexander Appointments,Data Analyst role available for someone with a data analyst background. Western Sydney Location. Not for profit organisation.,2017-09-14T02:15:25Z
34409171,https://www.seek.com.au/job/34409171,Financial Data Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Accounting,KPMG Australia,An exciting opportunity to join a leading professional services firm in Sydney!,2017-09-14T08:25:59Z
34405532,https://www.seek.com.au/job/34405532,Finance Data Analyst,Contract/Temp,Sydney,,"Manufacturing, Transport & Logistics",Compass Group,Join a busy and dynamic group of individuals by offering commercial support to our Procurement team (Fixed Term Contract),2017-09-14T04:19:55Z
34405535,https://www.seek.com.au/job/34405535,Finance Data Analyst,Contract/Temp,Sydney,,Hospitality & Tourism,Compass Group,Join a busy and dynamic group of individuals by offering commercial support to our Procurement team (Fixed Term Contract),2017-09-14T04:19:55Z
34405531,https://www.seek.com.au/job/34405531,Finance Data Analyst,Contract/Temp,Sydney,,Accounting,Compass Group,Join a busy and dynamic group of individuals by offering commercial support to our Procurement team (Fixed Term Contract),2017-09-14T04:19:55Z
34404055,https://www.seek.com.au/job/34404055,Health Policy & Data Analyst | Qatar,Full Time,Sydney,,Healthcare & Medical,Global Career HQ,Experienced Healthcare Analyst to support strategic objectives and provide evidence for health policy decision making at a national level.,2017-09-14T02:34:37Z
34405545,https://www.seek.com.au/job/34405545,Senior Data Analyst | Data Protection | Security,Full Time,Melbourne,,Information & Communication Technology,National Australia Bank,"Utilise your strong data analysis, SPLUNK and Tableau skills and enter an area that is building the Data Loss Protection capability from scratch.",2017-09-14T04:20:29Z
